GEOID,total,total_moe,over65
63045,0,11,0
63155,0,11,0
63368,46839,1312,5315
63104,19913,986,1889
63021,56233,967,8602
63033,42991,1859,6562
63034,17879,1062,3442
63043,22524,420,3779
63074,15234,596,1721
63101,3307,578,271
63108,20704,896,3129
63109,26562,835,3777
63038,7077,558,1018
63373,593,94,73
63116,44290,1221,4883
63121,24634,1072,4997
63122,38686,441,7853
63123,51130,978,9651
63140,276,98,30
63126,14781,564,3073
63127,4986,324,1405
63131,17627,715,4183
63144,8725,242,928
63367,24228,707,3851
63303,47906,1295,7528
63332,1253,284,408
63385,43634,855,5196
63386,392,76,84
63026,43287,1152,6219
63044,10536,394,2142
63049,17398,933,2294
63102,2201,415,106
63011,38436,1050,7380
63005,17887,633,2588
63010,36008,824,5616
63115,18213,1149,3241
63128,29823,871,7948
63136,45411,1382,6221
63141,20550,564,4761
63088,8376,343,1362
63103,8307,776,795
63111,21141,1374,2451
63118,28324,1498,2106
63124,10827,463,3104
63132,13427,809,2052
63134,13525,517,1458
63138,18582,1111,2456
63376,74448,1062,10669
63106,11409,889,1328
63110,18208,891,1869
63025,14334,785,2359
63031,47419,1343,6562
63105,18333,384,2668
63112,18744,857,2702
63114,35487,950,4256
63119,34119,368,6728
63125,33031,1201,5692
63130,28909,764,4010
63135,21869,827,2664
63143,9572,278,945
63146,30178,1124,6318
63304,41277,1208,5936
63348,6841,707,1157
63357,5331,750,958
63107,9490,794,1465
63113,11371,992,1900
63117,8978,149,1278
63120,8691,996,1071
63139,21933,790,2816
63147,9932,898,1518
63341,3663,349,607
63017,41556,756,11110
63040,8258,459,961
63042,19443,609,2447
63366,49621,1070,6532
63069,15247,810,2173
63129,53671,1155,10013
63133,7336,459,1102
63137,20039,907,2579
63301,50675,1274,8509
