GEOID,total,total_moe,poverty,poverty_moe
63045,0,11,0,11
63155,0,11,0,11
63368,46599,1326,2058,764
63104,19788,987,3738,836
63021,55700,973,2273,668
63033,42010,1923,4282,1062
63034,17754,1066,1499,713
63043,21896,475,2253,508
63074,15195,599,2155,677
63101,3305,579,517,404
63108,18909,930,4727,599
63109,26517,833,1859,500
63038,7077,558,278,309
63373,587,93,49,25
63116,43926,1187,8764,1101
63121,23897,1086,5424,957
63122,38349,437,1509,345
63123,50820,981,4337,787
63140,276,98,139,79
63126,14725,561,785,300
63127,4828,328,285,185
63131,17463,730,671,298
63144,8705,246,446,197
63367,24177,691,771,285
63303,47624,1307,3398,620
63332,1253,284,56,38
63385,43315,907,2826,517
63386,392,76,48,36
63026,42751,1133,2639,511
63044,10118,395,1290,385
63049,17326,953,2039,510
63102,1209,271,86,79
63011,38416,1051,1215,412
63005,17834,640,562,249
63010,35617,828,3140,603
63115,18148,1145,6305,983
63128,29348,851,1253,388
63136,44872,1361,10915,1393
63141,19726,566,529,206
63088,8183,363,806,251
63103,6871,672,1220,258
63111,20838,1374,7334,1162
63118,28086,1505,9083,1181
63124,10806,461,531,221
63132,13294,843,1167,304
63134,13521,516,2255,536
63138,18168,1103,3423,933
63376,73821,1107,3025,541
63106,11221,883,5540,914
63110,17147,878,2538,482
63025,13873,796,526,312
63031,46223,1299,4484,916
63105,13893,493,1197,265
63112,18461,835,4140,612
63114,35097,975,6250,1081
63119,32882,491,1490,395
63125,32744,1192,3754,718
63130,27810,775,4261,731
63135,21516,856,3846,794
63143,9572,278,1234,287
63146,29931,1120,2165,495
63304,41105,1208,1128,312
63348,6801,705,140,83
63357,5331,750,321,156
63107,9399,791,3553,542
63113,10758,989,3634,706
63117,8944,153,592,156
63120,8584,983,3793,1042
63139,21851,784,2524,549
63147,9053,878,2878,864
63341,3654,347,113,83
63017,39842,769,1968,393
63040,8244,461,181,140
63042,19419,609,2449,699
63366,49308,1080,3160,753
63069,14342,799,1187,350
63129,53279,1134,2702,526
63133,7158,447,2897,490
63137,19390,894,4655,858
63301,44431,1514,4678,826
